Common Name,Symbol,Scientific Name,Family Symbol,Family Common Name,Active Growth Period,Fall Conspicuous,Flower Color,Flower Conspicuous,Foliage Color,Foliage Texture,Fruit Color,Fruit Conspicuous,Leaf Retention,Shape and Orientation,Bloom Period,Commercial Availability
limber pine,PIFL2,Pinus flexilis,PINACE,Pine family,Summer,No,Green,No,Green,Coarse,Brown,No,Yes,Erect,Summer,Contracting Only
spruce pine,PIGL2,Pinus glabra,PINACE,Pine family,Spring and Summer,No,Green,No,Green,Medium,Brown,No,Yes,Conical,Late Spring,Routinely Available
Jeffrey pine,PIJE,Pinus jeffreyi,PINACE,Pine family,Spring and Summer,No,Brown,No,Dark Green,Fine,Brown,Yes,Yes,Erect,Late Spring,Routinely Available
sugar pine,PILA,Pinus lambertiana,PINACE,Pine family,Spring; Summer; Fall,No,Brown,No,Green,Fine,Brown,Yes,Yes,Erect,Spring,Routinely Available
singleleaf pinyon,PIMO,Pinus monophylla,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Rounded,Mid Spring,Contracting Only
western white pine,PIMO3,Pinus monticola,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Conical,Mid Spring,Routinely Available
mugo pine,PIMU80,Pinus mugo,PINACE,Pine family,Spring and Summer,No,Yellow,No,Dark Green,Coarse,Brown,No,Yes,Decumbent,MI,Routinely Available
Bishop pine,PIMU,Pinus muricata,PINACE,Pine family,Spring and Summer,No,Orange,No,Green,Medium,Brown,Yes,Yes,Conical,Mid Spring,Contracting Only
Austrian pine,PINI,Pinus nigra,PINACE,Pine family,Spring,No,Yellow,No,Green,Medium,Brown,No,Yes,Rounded,Late Spring,Routinely Available
longleaf pine,PIPA2,Pinus palustris,PINACE,Pine family,Spring and Summer,No,Brown,No,Dark Green,Medium,Brown,Yes,Yes,Erect,Late Winter,No Known Source
ponderosa pine,PIPO,Pinus ponderosa,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Rounded,Mid Spring,Routinely Available
Table Mountain pine,PIPU5,Pinus pungens,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Conical,Mid Spring,Routinely Available
Monterey pine,PIRA2,Pinus radiata,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Erect,Late Winter,Routinely Available
red pine,PIRE,Pinus resinosa,PINACE,Pine family,Spring and Summer,No,Brown,No,Yellow-Green,Medium,Purple,Yes,Yes,Erect,Spring,Routinely Available
pitch pine,PIRI,Pinus rigida,PINACE,Pine family,Spring and Summer,No,Green,No,Yellow-Green,Medium,Brown,Yes,Yes,Erect,Spring,Routinely Available
